Nodes,ID,Label,ColorOfNodes
AB,1,AB,"239,187,60"
ABp,2,ABp,"239,187,60"
ABpl,3,ABpl,"239,187,60"
ABpla,4,ABpla,"239,187,60"
ABplp,5,ABplp,"239,187,60"
ABpr,6,ABpr,"239,187,60"
ABprp,7,ABprp,"239,187,60"
ABpra,8,ABpra,"239,187,60"
ABa,9,ABa,"239,187,60"
ABar,10,ABar,"239,187,60"
ABara,11,ABara,"239,187,60"
ABarp,12,ABarp,"239,187,60"
ABal,13,ABal,"239,187,60"
ABalp,14,ABalp,"239,187,60"
ABala,15,ABala,"239,187,60"
P1,16,P1,"158,99,170"
EMS,17,EMS,"158,99,170"
MS,18,MS,"158,99,170"
MSp,19,MSp,"158,99,170"
MSa,20,MSa,"158,99,170"
E,21,E,"158,99,170"
Ea,22,Ea,"158,99,170"
Ep,23,Ep,"158,99,170"
P2,24,P2,"158,99,170"
C,25,C,"158,99,170"
Cp,26,Cp,"158,99,170"
Ca,27,Ca,"158,99,170"
P3,28,P3,"158,99,170"
P4,29,P4,"158,99,170"
D,30,D,"158,99,170"
